"","...1","t_year","year","Date","Location","Sublocation","Block","Treatment","Treatment_ID","Subplot","Microtopography","Total","Notat","Sph_sp","cover","Proportion","cover_no0","cover_int","cover_no1"
"32",32,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph rip",0,0,0.01,0,0
"33",33,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph cf",0,0,0.01,0,0
"34",34,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph ang",10,0.357142857142857,10,10,10
"35",35,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph cap",5,0.178571428571429,5,5,5
"36",36,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph ten",10,0.357142857142857,10,10,10
"37",37,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph pap",3,0.107142857142857,3,3,3
"38",38,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph div",0,0,0.01,0,0
"39",39,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph rus",0,0,0.01,0,0
"40",40,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph com",0,0,0.01,0,0
"41",41,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph maj",0,0,0.01,0,0
"42",42,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph bal",0,0,0.01,0,0
"43",43,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph rip",0,0,0.01,0,0
"44",44,2,2021,2021-09-13,"HM",1,1,"S","S1",4,"3",28,NA,"Sph cf",0,0,0.01,0,0
"45",45,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph ang",7,0.125,7,7,7
"46",46,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph cap",7,0.125,7,7,7
"47",47,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph ten",40,0.714285714285714,40,40,40
"48",48,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph pap",2,0.0357142857142857,2,2,2
"49",49,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph div",0,0,0.01,0,0
"50",50,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph rus",0,0,0.01,0,0
"51",51,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph com",0,0,0.01,0,0
"52",52,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph maj",0,0,0.01,0,0
"53",53,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph bal",0,0,0.01,0,0
"54",54,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph rip",0,0,0.01,0,0
"55",55,2,2021,2021-09-13,"HM",1,1,"S","S2",1,"3",56,NA,"Sph cf",0,0,0.01,0,0
"56",56,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph ang",10,0.333333333333333,10,10,10
"57",57,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph cap",2,0.0666666666666667,2,2,2
"58",58,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph ten",15,0.5,15,15,15
"59",59,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph pap",3,0.1,3,3,3
"60",60,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph div",0,0,0.01,0,0
"61",61,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph rus",0,0,0.01,0,0
"62",62,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph com",0,0,0.01,0,0
"63",63,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph maj",0,0,0.01,0,0
"64",64,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph bal",0,0,0.01,0,0
"65",65,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph rip",0,0,0.01,0,0
"66",66,2,2021,2021-09-13,"HM",1,1,"S","S2",2,"3",30,NA,"Sph cf",0,0,0.01,0,0
"67",67,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph ang",8,0.32,8,8,8
"68",68,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph cap",3,0.12,3,3,3
"69",69,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph ten",12,0.48,12,12,12
"70",70,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph pap",2,0.08,2,2,2
"71",71,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph div",0,0,0.01,0,0
"72",72,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph rus",0,0,0.01,0,0
"73",73,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph com",0,0,0.01,0,0
"74",74,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph maj",0,0,0.01,0,0
"75",75,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph bal",0,0,0.01,0,0
"76",76,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph rip",0,0,0.01,0,0
"77",77,2,2021,2021-09-13,"HM",1,1,"S","S2",3,"4",25,NA,"Sph cf",0,0,0.01,0,0
"78",78,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph ang",10,0.384615384615385,10,10,10
"79",79,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph cap",4,0.153846153846154,4,4,4
"80",80,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph ten",10,0.384615384615385,10,10,10
"81",81,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph pap",2,0.0769230769230769,2,2,2
"82",82,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph div",0,0,0.01,0,0
"83",83,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph rus",0,0,0.01,0,0
"84",84,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph com",0,0,0.01,0,0
"85",85,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph maj",0,0,0.01,0,0
"86",86,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph bal",0,0,0.01,0,0
"87",87,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph rip",0,0,0.01,0,0
"88",88,2,2021,2021-09-13,"HM",1,1,"S","S2",4,"3",26,NA,"Sph cf",0,0,0.01,0,0
"89",89,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph ang",3,0.0909090909090909,3,3,3
"90",90,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph cap",5,0.151515151515152,5,5,5
"91",91,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph ten",15,0.454545454545455,15,15,15
"92",92,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph pap",10,0.303030303030303,10,10,10
"93",93,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph div",0,0,0.01,0,0
"94",94,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph rus",0,0,0.01,0,0
"95",95,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph com",0,0,0.01,0,0
"96",96,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph maj",0,0,0.01,0,0
"97",97,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph bal",0,0,0.01,0,0
"98",98,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph rip",0,0,0.01,0,0
"99",99,2,2021,2021-09-13,"HM",1,2,"S","S1",1,"2",33,NA,"Sph cf",0,0,0.01,0,0
"100",100,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph ang",10,0.454545454545455,10,10,10
"101",101,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph cap",6,0.272727272727273,6,6,6
"102",102,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph ten",4,0.181818181818182,4,4,4
"103",103,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph pap",2,0.0909090909090909,2,2,2
"104",104,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph div",0,0,0.01,0,0
"105",105,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph rus",0,0,0.01,0,0
"106",106,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph com",0,0,0.01,0,0
"107",107,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph maj",0,0,0.01,0,0
"108",108,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph bal",0,0,0.01,0,0
"109",109,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph rip",0,0,0.01,0,0
"110",110,2,2021,2021-09-13,"HM",1,2,"S","S1",2,"4",22,NA,"Sph cf",0,0,0.01,0,0
"111",111,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph ang",5,0.185185185185185,5,5,5
"112",112,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph cap",2,0.0740740740740741,2,2,2
"113",113,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph ten",10,0.37037037037037,10,10,10
"114",114,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph pap",10,0.37037037037037,10,10,10
"115",115,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph div",0,0,0.01,0,0
"116",116,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph rus",0,0,0.01,0,0
"117",117,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph com",0,0,0.01,0,0
"118",118,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph maj",0,0,0.01,0,0
"119",119,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph bal",0,0,0.01,0,0
"120",120,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph rip",0,0,0.01,0,0
"121",121,2,2021,2021-09-13,"HM",1,2,"S","S1",3,"3",27,NA,"Sph cf",0,0,0.01,0,0
"122",122,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph ang",15,0.441176470588235,15,15,15
"123",123,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph cap",6,0.176470588235294,6,6,6
"124",124,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph ten",5,0.147058823529412,5,5,5
"125",125,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph pap",8,0.235294117647059,8,8,8
"126",126,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph div",0,0,0.01,0,0
"127",127,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph rus",0,0,0.01,0,0
"128",128,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph com",0,0,0.01,0,0
"129",129,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph maj",0,0,0.01,0,0
"130",130,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph bal",0,0,0.01,0,0
"131",131,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph rip",0,0,0.01,0,0
"132",132,2,2021,2021-09-13,"HM",1,2,"S","S1",4,"2",34,NA,"Sph cf",0,0,0.01,0,0
"133",133,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph ang",5,0.1,5,5,5
"134",134,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph cap",10,0.2,10,10,10
"135",135,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph ten",10,0.2,10,10,10
"136",136,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph pap",25,0.5,25,25,25
"137",137,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph div",0,0,0.01,0,0
"138",138,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph rus",0,0,0.01,0,0
"139",139,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph com",0,0,0.01,0,0
"140",140,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph maj",0,0,0.01,0,0
"141",141,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph bal",0,0,0.01,0,0
"142",142,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph rip",0,0,0.01,0,0
"143",143,2,2021,2021-09-13,"HM",1,2,"S","S2",1,"2",50,NA,"Sph cf",0,0,0.01,0,0
"144",144,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph ang",10,0.227272727272727,10,10,10
"145",145,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph cap",5,0.113636363636364,5,5,5
"146",146,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph ten",20,0.454545454545455,20,20,20
"147",147,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph pap",4,0.0909090909090909,4,4,4
"148",148,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph div",5,0.113636363636364,5,5,5
"149",149,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph rus",0,0,0.01,0,0
"150",150,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph com",0,0,0.01,0,0
"151",151,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph maj",0,0,0.01,0,0
"152",152,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph bal",0,0,0.01,0,0
"153",153,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph rip",0,0,0.01,0,0
"154",154,2,2021,2021-09-13,"HM",1,2,"S","S2",2,"2",44,NA,"Sph cf",0,0,0.01,0,0
"155",155,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph ang",25,0.3125,25,25,25
"156",156,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph cap",10,0.125,10,10,10
"157",157,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph ten",15,0.1875,15,15,15
"158",158,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph pap",20,0.25,20,20,20
"159",159,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph div",0,0,0.01,0,0
"160",160,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph rus",0,0,0.01,0,0
"161",161,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph com",0,0,0.01,0,0
"162",162,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph maj",0,0,0.01,0,0
"163",163,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph bal",0,0,0.01,0,0
"164",164,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph rip",0,0,0.01,0,0
"165",165,2,2021,2021-09-13,"HM",1,2,"S","S2",3,"1",80,NA,"Sph cf",0,0,0.01,0,0
"166",166,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph ang",20,0.285714285714286,20,20,20
"167",167,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph cap",20,0.285714285714286,20,20,20
"168",168,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph ten",15,0.214285714285714,15,15,15
"169",169,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph pap",15,0.214285714285714,15,15,15
"170",170,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph div",0,0,0.01,0,0
"171",171,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph rus",0,0,0.01,0,0
"172",172,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph com",0,0,0.01,0,0
"173",173,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph maj",0,0,0.01,0,0
"174",174,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph bal",0,0,0.01,0,0
"175",175,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph rip",0,0,0.01,0,0
"176",176,2,2021,2021-09-13,"HM",1,2,"S","S2",4,"2",70,NA,"Sph cf",0,0,0.01,0,0
"177",177,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph ang",5,0.238095238095238,5,5,5
"178",178,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph cap",8,0.380952380952381,8,8,8
"179",179,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph ten",8,0.380952380952381,8,8,8
"180",180,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph pap",0,0,0.01,0,0
"181",181,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph div",0,0,0.01,0,0
"182",182,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph rus",0,0,0.01,0,0
"183",183,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph com",0,0,0.01,0,0
"184",184,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph maj",0,0,0.01,0,0
"185",185,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph bal",0,0,0.01,0,0
"186",186,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph rip",0,0,0.01,0,0
"187",187,2,2021,2021-09-13,"HM",1,3,"S","S1",1,"4",21,NA,"Sph cf",0,0,0.01,0,0
"188",188,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph ang",6,0.3,6,6,6
"189",189,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph cap",10,0.5,10,10,10
"190",190,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph ten",4,0.2,4,4,4
"191",191,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph pap",0,0,0.01,0,0
"192",192,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph div",0,0,0.01,0,0
"193",193,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph rus",0,0,0.01,0,0
"194",194,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph com",0,0,0.01,0,0
"195",195,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph maj",0,0,0.01,0,0
"196",196,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph bal",0,0,0.01,0,0
"197",197,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph rip",0,0,0.01,0,0
"198",198,2,2021,2021-09-13,"HM",1,3,"S","S1",2,"3",20,NA,"Sph cf",0,0,0.01,0,0
"199",199,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph ang",8,0.32,8,8,8
"200",200,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph cap",2,0.08,2,2,2
"201",201,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph ten",14,0.56,14,14,14
"202",202,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph pap",1,0.04,1,1,1
"203",203,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph div",0,0,0.01,0,0
"204",204,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph rus",0,0,0.01,0,0
"205",205,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph com",0,0,0.01,0,0
"206",206,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph maj",0,0,0.01,0,0
"207",207,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph bal",0,0,0.01,0,0
"208",208,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph rip",0,0,0.01,0,0
"209",209,2,2021,2021-09-13,"HM",1,3,"S","S1",3,"3",25,NA,"Sph cf",0,0,0.01,0,0
"210",210,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph ang",10,0.555555555555556,10,10,10
"211",211,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph cap",2,0.111111111111111,2,2,2
"212",212,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph ten",2,0.111111111111111,2,2,2
"213",213,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph pap",4,0.222222222222222,4,4,4
"214",214,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph div",0,0,0.01,0,0
"215",215,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph rus",0,0,0.01,0,0
"216",216,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph com",0,0,0.01,0,0
"217",217,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph maj",0,0,0.01,0,0
"218",218,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph bal",0,0,0.01,0,0
"219",219,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph rip",0,0,0.01,0,0
"220",220,2,2021,2021-09-13,"HM",1,3,"S","S1",4,"4",18,NA,"Sph cf",0,0,0.01,0,0
"221",221,2,2021,2021-09-13,"HM",1,3,"S","S2",1,"4",11,NA,"Sph ang",8,0.727272727272727,8,8,8
"222",222,2,2021,2021-09-13,"HM",1,3,"S","S2",1,"4",11,NA,"Sph cap",0,0,0.01,0,0
"223",223,2,2021,2021-09-13,"HM",1,3,"S","S2",1,"4",11,NA,"Sph ten",4,0.363636363636364,4,4,4
"224",224,2,2021,2021-09-13,"HM",1,3,"S","S2",1,"4",11,NA,"Sph pap",0,0,0.01,0,0
"225",225,2,2021,2021-09-13,"HM",1,3,"S","S2",1,"4",11,NA,"Sph div",0,0,0.01,0,0
"226",226,2,2021,2021-09-13,"HM",1,3,"S","S2",1,"4",11,NA,"Sph rus",0,0,0.01,0,0
