"","Date","year","month","Location","Sublocation","Block","Treatment_ID","Treatment","Registered_by","t_year","Roughness","Slope","Sphagnum","Dead_sph","Polytrichum","Racomitrium","Other_mosses","Livermosses","Lichen","Carex","Trichophorum","Eriopherum","Sedges","Rhynchospora","Grasses","Heathers","Oxycoccus","Blueberry","Drosera","Herbs","Narthecium","Bet_nan","Seedlings","Bushes","Trees","Bare_peat","Litter","Mulch","Dead_wood","Temp_water","Other","All_species","Notes.x","WAL #","Sample_ID","Burial_Date","Retrieval_Date","#Anion","#Cation","Notes.y","NO3_N","NH4_N","Ca","Mg","K","P","Fe","Mn","Cu","Zn","B","S","Pb","Al","Cd","Name","Station_ID","consecutive_days_count","gs_mean","gs_max","gs_min","total_days","Change_Year","Change_Total","Other_veg","Total_veg","Field","Veg_Ground","Tot_Ground","Sphagnum_nozero","Sphagnum_int","Sphagnum_no1","Sphagnum_beta"
"11",2022-09-14,"2022","9","BSM","1","1","S2","S","MOK",2,"5",2,50,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2,0,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,50,NA,0.3,50.3,0.1,50.2,127.2,50,50,50,50
"12",2023-09-07,"2023","9","BSM","1","1","S2","S","FB, ACM",3,"5",2,70,0,2,0,0.1,5,0,0,0,0.1,0,0,0,3,0,0,0,0,0,0,0.1,0,0,10,1,30,2,0,NA,"e. vag, pin syl, calluna, fus, emp nigr, bladmoser, ang, pap, rub, ten, levermoser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,20,70,10.3,80.3,3.2,77.1,120.1,70,70,70,70
"13",2021-06-08,"2021","6","BSM","1","2","C","C","MF; LIL",0,"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,0,2,0,0,"ingen i live",NA,"203360",4,2021-06-07,2021-09-13,2,2,NA,79,44,647,753,15,0.08,2.5,0.7,0.19,7.37,0,125,0.6,20.2,0.02,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,102,1e-04,0,0,1e-04
"14",2022-09-14,"2022","9","BSM","1","2","C","C","MOK",2,"3",1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0,0,100,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,NA,2.2,2.2,2.1,0.1,102.1,1e-04,0,0,1e-04
"15",2023-09-07,"2023","9","BSM","1","2","C","C","MF",3,"3",1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,5,0,0,0,0,0,0,3,0,0,90,7,0,0,0,NA,"r<U+00F8>sslyng, e.vag, bj<U+00F8>rk,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,0,8.1,8.1,8.1,0,97,1e-04,0,0,1e-04
"16",2021-06-08,"2021","6","BSM","1","2","M","M","MF; LIL",0,"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,10,0,5,0,0,"ingen i live",NA,"203361",5,2021-06-07,2021-09-13,2,2,NA,4,39,698,754,77,0.24,4.2,0.6,0.13,6.36,1.27,112,1.46,31.6,0.05,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,100,1e-04,0,0,1e-04
"17",2022-09-14,"2022","9","BSM","1","2","M","M","MOK",2,"4",1,0,1,0,0,0.1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,40,1,60,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,NA,1.3,1.3,1.1,0.2,105.2,1e-04,0,0,1e-04
"18",2023-09-07,"2023","9","BSM","1","2","M","M","MF",3,"4",1,0,4,0,0,0,3,0,0,0,0.1,0,0,0,15,0,0,0,0,0,0,0,3,0,45,0,30,0,0,NA,"r<U+00F8>sslyng, bj<U+00F8>rk, e. vag, levermoser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,0,21.1,21.1,18.1,3,82,1e-04,0,0,1e-04
"19",2021-06-08,"2021","6","BSM","1","2","S1","S","MF; LIL",0,"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,2,0,0,"ingen i live, en god del t<U+00F8>rr sphagnum",NA,"203362",6,2021-06-07,2021-09-13,2,2,"broken cation probe",1,27,682,759,55,0.34,2.2,1.3,0.11,9.48,0,266,0.91,19.3,0.03,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,102,1e-04,0,0,1e-04
"20",2022-09-14,"2022","9","BSM","1","2","S1","S","MOK",2,"6",1,25,6,0,0,0,0.1,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0.1,65,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,25,NA,3.2,28.2,3,25.2,99.3,25,25,25,25
"21",2023-09-07,"2023","9","BSM","1","2","S1","S","FB, ACM",3,"6",1,75,12,0,0,0.1,8,0,0,0,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0.1,18,0,0,NA,"calluna, bladmoser, e.vag, emp nigr, andromeda, levermose, pap, rub, ten, ang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,50,75,18.2,93.2,10.1,83.1,115.2,75,75,75,75
"22",2021-06-08,"2021","6","BSM","1","2","S2","S","MF; LIL",0,"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,0,2,0,0,"ingen i live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,97,1e-04,0,0,1e-04
"23",2022-09-14,"2022","9","BSM","1","2","S2","S","MOK",2,"3",1,50,0,0.1,0,0.1,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,3,0.1,60,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,50,NA,2.4,52.4,0.2,52.2,115.4,50,50,50,50
"24",2023-09-07,"2023","9","BSM","1","2","S2","S","FB, ACM",3,"3",1,81,0,0,0,0.1,10,0,0,0,0.1,0,0,0,5,0,0,0.1,0,0,0,0.1,0,0,9,1,20,0,0,NA,"calluna, e. vag, emp nigr, picea abis, drosera rot, bladmoser, div, pap, rub, comp, ten, ang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,31,81,15.4,96.4,5.3,91.1,121.1,81,81,81,81
"25",2021-06-08,"2021","6","BSM","1","3","C","C","MF; LIL",0,"5",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,0,2,0,0,"ingen i live",NA,"203363",7,2021-06-07,2021-09-13,2,2,NA,0,12,771,762,11,0.14,100.4,1.9,0.05,4.37,0,554,1.8,17.2,0.07,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,100,1e-04,0,0,1e-04
"26",2022-09-14,"2022","9","BSM","1","3","C","C","MOK",2,"5",3,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,NA,0.2,0.2,0,0.2,100.3,1e-04,0,0,1e-04
"27",2023-09-07,"2023","9","BSM","1","3","C","C","MF",3,"5",3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,0,0,0,NA,"e.vag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,0,2,2,2,0,98,1e-04,0,0,1e-04
"28",2021-06-08,"2021","6","BSM","1","3","M","M","MF; LIL",0,"4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,0,2,0,0,"ingen i live",NA,"203364",8,2021-06-07,2021-09-13,2,2,NA,0,22,889,752,39,0.12,375.5,8,0.05,5.5,0.42,197,1.22,27.5,0.05,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,100,1e-04,0,0,1e-04
"29",2022-09-14,"2022","9","BSM","1","3","M","M","MOK",2,"4",2,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,35,0.1,65,2,0,NA,NA,"delvis under vann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0.1,NA,1.1,1.2,0.1,1.1,103.3,0.1,1,0.1,0.1
"30",2023-09-07,"2023","9","BSM","1","3","M","M","MF",3,"4",2,1,0,0,0,0.1,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,45,0,45,0,0,NA,"calluna, e.vag, pap, dicranum levermoser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0.9,1,7.1,8.1,5,3.1,93.1,1,1,1,1
"31",2021-06-08,"2021","6","BSM","1","3","S1","S","MF; LIL",0,"3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,2,0,0,"kan se ut som det er noen t<U+00F8>rre, men antakelig i live individer av sphagnum, ukjent art",NA,"203365",9,2021-06-07,2021-09-13,2,2,NA,22,28,744,752,68,0.22,232.1,2.7,0.18,9.24,0.72,447,4.72,47.7,0.06,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,1,0,1,103,1,1,1,1
"32",2022-09-14,"2022","9","BSM","1","3","S1","S","MOK",2,"3",1,70,0.1,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,35,0,0,NA,NA,"delvis under vann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,69,NA,0.3,70.3,0.1,70.2,120.3,70,70,70,70
"33",2023-09-07,"2023","9","BSM","1","3","S1","S","FB, ACM",3,"3",1,76,0,0.1,0,0.1,4,0,0,0,3,0,0,0,0.1,0,0,1,0,0,0,0,0,0,20,0.1,8,0,0,NA,"E. vag, Drosera rot, pap, rub, bladmoser, ang. polytrichium, bal, ten, levermoser , calluna, comp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,6,75,8.3,84.3,4.1,80.2,108.3,76,76,76,76
"34",2021-06-08,"2021","6","BSM","1","3","S2","S","MF; LIL",0,"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,0,0,0,"ingen i live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,100,1e-04,0,0,1e-04
"35",2022-09-14,"2022","9","BSM","1","3","S2","S","MOK",2,"3",1,55,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,60,0.1,0,NA,NA,"delvis under vann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,55,NA,0.5,55.5,0.2,55.3,115.6,55,55,55,55
"36",2023-09-07,"2023","9","BSM","1","3","S2","S","FB, ACM",3,"3",1,77,0,0,0,0.1,5,0,0,0,2,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,18,1,12,0,15,NA,"E.vag, drosera rot, emp nigr, bladmoser, rub, pap, bal, ten, ang, levermoser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,22,77,7.3,84.3,2.2,82.1,113.1,77,77,77,77
"37",2021-06-08,"2021","6","BSM","1","4","C","C","MF; LIL",0,"3",1,0,20,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,15,0,3,0,NA,"mye t<U+00F8>rr sphagnum, noe ogs<U+00E5> s<U+00E5>pass tydelig at usikker p<U+00E5> om kan komme tilbake",NA,"203366",10,2021-06-07,2021-09-13,2,2,NA,34,11,592,759,7,0.11,9.9,0.7,0.07,9.8,0.47,519,1.72,60.7,0.07,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0.1,0.1,0,0.1,103.1,1e-04,0,0,1e-04
"38",2022-09-14,"2022","9","BSM","1","4","C","C","MOK",2,"3",1,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.1,1,0,0,0,0,0,0,1,0,0,95,0.1,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0.1,NA,2.3,2.4,2.2,0.2,100.4,0.1,1,0.1,0.1
"39",2023-09-07,"2023","9","BSM","1","4","C","C","MF",3,"3",1,0.1,0,0,0,0,5,0,0,0,1,0,0,1,2,0,0,0,3,0,0,0.1,0,0,85,5,0,0,0,NA,"e.vag, furu, molinia, molte, pap, r<U+00F8>sslyng, empetrum, levermoser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,0.1,12.1,12.2,7.1,5.1,95.1,0.1,1,0.1,0.1
"40",2021-06-08,"2021","6","BSM","1","4","M","M","MF; LIL",0,"3",2,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,0,2,0,NA,"furumose, skudd av rome, en del sphagnum, t<U+00F8>rr,men noe helt, kan kanakje komme tilbake",NA,"203367",11,2021-06-07,2021-09-13,2,2,NA,4,23,632,752,81,0.21,13.2,1.6,0.14,9.57,1.88,324,1.57,70.5,0.05,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,1,1,0,1,103,1e-04,0,0,1e-04
"41",2022-09-14,"2022","9","BSM","1","4","M","M","MOK",2,"3",2,1,0,0,0,1,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,25,0.1,75,0.1,0,NA,NA,"halvparten under vann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,1,NA,1.5,2.5,0.4,2.1,102.3,1,1,1,1
"42",2023-09-07,"2023","9","BSM","1","4","M","M","MF",3,"3",2,3,2,0,0,0,10,0,0,0,1,0,0,0,0.1,0,0,0,0,0.1,0,1,0,0,33,0,50,0,0,NA,"furu, pap, e.vag, rome, r<U+00F8>sslyng, krekling, levermoser,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,2,3,12.2,15.2,2.2,13,98,3,3,3,3
"43",2021-06-08,"2021","6","BSM","1","4","S1","S","MF; LIL",0,"2",1,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,25,0,0,0,NA,"en del t<U+00F8>rr furumose, noe t<U+00F8>rr sphagnum, ",NA,"203368",12,2021-06-07,2021-09-13,2,2,NA,2,29,588,751,235,0.12,6.2,0.9,0.07,8.59,0.25,244,0.64,39.7,0.13,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,10,10,0,10,100,1e-04,0,0,1e-04
"44",2022-09-14,"2022","9","BSM","1","4","S1","S","MOK",2,"2",1,35,0,0.1,0,1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,65,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,35,NA,1.4,36.4,0.2,36.2,101.4,35,35,35,35
"45",2023-09-07,"2023","9","BSM","1","4","S1","S","FB, ACM",3,"2",1,83,0,0.1,0,1,11,0,0,0,0.1,0,0,0.1,5,0,0,0,0,0.1,0,0,0,0,6,0,18,0,0,NA,"calluna, rome, molinia, e.vag, polytrichium, emp nigr, bladmoser, levermose, div, rub, ten, pap, ang, comp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,48,83,17.4,100.4,5.3,95.1,119.1,83,83,83,83
"46",2021-06-08,"2021","6","BSM","1","4","S2","S","MF; LIL",0,"4",1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,80,10,0,4,0,NA,"s<U+00E5>vidt furumose, t<U+00F8>rr sphagnum, men hel, kan komme tilbake, et lite molteblad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,2.1,2.1,0.1,2,101,1e-04,0,0,1e-04
"47",2022-09-14,"2022","9","BSM","1","4","S2","S","MOK",2,"4",1,40,0,0.1,0,1,1,0,0,0,0.1,0,0,0,1,0,0,0,0,0.1,0,0.1,0,0,2,0,75,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,40,NA,3.4,43.4,1.3,42.1,121.1,40,40,40,40
"48",2023-09-07,"2023","9","BSM","1","4","S2","S","FB, ACM",3,"4",1,91,0,0.1,0,0.1,7,0,0,0,4,0,0,0,3,0,0,1,1,0,0,0,0,0,2,0,15,3,0,NA,"e. vag, calluna, rubus chr. Dros rot, emp nigr, polytrichium, bladmoser, andromeda, pap, comp, rub, bal, ten, ang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,51,91,16.2,107.2,9,98.2,118.2,91,91,91,91
"49",2021-06-08,"2021","6","BSM","2","1","C","C","MF; LIL",0,"2",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,1,0,NA,"ingn i live, s<U+00E5>vidt noe gjenkjennbar sphagnum som kanskje kan komme tilbake",NA,"203369",13,2021-06-07,2021-09-13,2,2,NA,0,34,855,752,38,0.13,65,0.5,0.12,3.07,0.44,549,0.45,26.1,0.02,"Hoydalsmoan","BSM2",8,-0.112483524408284,-0.0297,-0.2741,13,NA,NA,0,0,0,0,103,1e-04,0,0,1e-04
