"","t_year","year","Date","Location","Sublocation","Block","Treatment","Treatment_ID","Subplot","Microtopography","Total","Notat","Sph_sp","cover","Proportion","cover_no0","cover_int","cover_no1"
"76","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph rip",0,0,0.01,0,0
"77","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph cf",0,0,0.01,0,0
"78","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph ang",10,0.384615384615385,10,10,10
"79","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph cap",4,0.153846153846154,4,4,4
"80","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph ten",10,0.384615384615385,10,10,10
"81","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph pap",2,0.0769230769230769,2,2,2
"82","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph div",0,0,0.01,0,0
"83","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph rus",0,0,0.01,0,0
"84","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph com",0,0,0.01,0,0
"85","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph maj",0,0,0.01,0,0
"86","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph bal",0,0,0.01,0,0
"87","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph rip",0,0,0.01,0,0
"88","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",26,NA,"Sph cf",0,0,0.01,0,0
"89","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph ang",3,0.0909090909090909,3,3,3
"90","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph cap",5,0.151515151515152,5,5,5
"91","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph ten",15,0.454545454545455,15,15,15
"92","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph pap",10,0.303030303030303,10,10,10
"93","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph div",0,0,0.01,0,0
"94","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph rus",0,0,0.01,0,0
"95","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph com",0,0,0.01,0,0
"96","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph maj",0,0,0.01,0,0
"97","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph bal",0,0,0.01,0,0
"98","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph rip",0,0,0.01,0,0
"99","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",33,NA,"Sph cf",0,0,0.01,0,0
"100","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph ang",10,0.454545454545455,10,10,10
"101","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph cap",6,0.272727272727273,6,6,6
"102","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph ten",4,0.181818181818182,4,4,4
"103","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph pap",2,0.0909090909090909,2,2,2
"104","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph div",0,0,0.01,0,0
"105","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph rus",0,0,0.01,0,0
"106","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph com",0,0,0.01,0,0
"107","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph maj",0,0,0.01,0,0
"108","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph bal",0,0,0.01,0,0
"109","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph rip",0,0,0.01,0,0
"110","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",22,NA,"Sph cf",0,0,0.01,0,0
"111","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph ang",5,0.185185185185185,5,5,5
"112","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph cap",2,0.0740740740740741,2,2,2
"113","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph ten",10,0.37037037037037,10,10,10
"114","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph pap",10,0.37037037037037,10,10,10
"115","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph div",0,0,0.01,0,0
"116","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph rus",0,0,0.01,0,0
"117","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph com",0,0,0.01,0,0
"118","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph maj",0,0,0.01,0,0
"119","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph bal",0,0,0.01,0,0
"120","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph rip",0,0,0.01,0,0
"121","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",27,NA,"Sph cf",0,0,0.01,0,0
"122","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph ang",15,0.441176470588235,15,15,15
"123","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph cap",6,0.176470588235294,6,6,6
"124","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph ten",5,0.147058823529412,5,5,5
"125","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph pap",8,0.235294117647059,8,8,8
"126","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph div",0,0,0.01,0,0
"127","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph rus",0,0,0.01,0,0
"128","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph com",0,0,0.01,0,0
"129","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph maj",0,0,0.01,0,0
"130","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph bal",0,0,0.01,0,0
"131","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph rip",0,0,0.01,0,0
"132","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",34,NA,"Sph cf",0,0,0.01,0,0
"133","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph ang",5,0.1,5,5,5
"134","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph cap",10,0.2,10,10,10
"135","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph ten",10,0.2,10,10,10
"136","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph pap",25,0.5,25,25,25
"137","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph div",0,0,0.01,0,0
"138","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph rus",0,0,0.01,0,0
"139","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph com",0,0,0.01,0,0
"140","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph maj",0,0,0.01,0,0
"141","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph bal",0,0,0.01,0,0
"142","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph rip",0,0,0.01,0,0
"143","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",50,NA,"Sph cf",0,0,0.01,0,0
"144","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph ang",10,0.227272727272727,10,10,10
"145","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph cap",5,0.113636363636364,5,5,5
"146","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph ten",20,0.454545454545455,20,20,20
"147","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph pap",4,0.0909090909090909,4,4,4
"148","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph div",5,0.113636363636364,5,5,5
"149","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph rus",0,0,0.01,0,0
"150","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph com",0,0,0.01,0,0
"151","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph maj",0,0,0.01,0,0
"152","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph bal",0,0,0.01,0,0
"153","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph rip",0,0,0.01,0,0
"154","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",44,NA,"Sph cf",0,0,0.01,0,0
"155","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph ang",25,0.3125,25,25,25
"156","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph cap",10,0.125,10,10,10
"157","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph ten",15,0.1875,15,15,15
"158","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph pap",20,0.25,20,20,20
"159","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph div",0,0,0.01,0,0
"160","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph rus",0,0,0.01,0,0
"161","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph com",0,0,0.01,0,0
"162","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph maj",0,0,0.01,0,0
"163","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph bal",0,0,0.01,0,0
"164","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph rip",0,0,0.01,0,0
"165","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",80,NA,"Sph cf",0,0,0.01,0,0
"166","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph ang",20,0.285714285714286,20,20,20
"167","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph cap",20,0.285714285714286,20,20,20
"168","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph ten",15,0.214285714285714,15,15,15
"169","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph pap",15,0.214285714285714,15,15,15
"170","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph div",0,0,0.01,0,0
"171","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph rus",0,0,0.01,0,0
"172","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph com",0,0,0.01,0,0
"173","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph maj",0,0,0.01,0,0
"174","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph bal",0,0,0.01,0,0
"175","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph rip",0,0,0.01,0,0
"176","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",70,NA,"Sph cf",0,0,0.01,0,0
"177","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph ang",5,0.238095238095238,5,5,5
"178","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph cap",8,0.380952380952381,8,8,8
"179","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph ten",8,0.380952380952381,8,8,8
"180","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph pap",0,0,0.01,0,0
"181","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph div",0,0,0.01,0,0
"182","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph rus",0,0,0.01,0,0
"183","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph com",0,0,0.01,0,0
"184","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph maj",0,0,0.01,0,0
"185","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph bal",0,0,0.01,0,0
"186","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph rip",0,0,0.01,0,0
"187","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",21,NA,"Sph cf",0,0,0.01,0,0
"188","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph ang",6,0.3,6,6,6
"189","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph cap",10,0.5,10,10,10
"190","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph ten",4,0.2,4,4,4
"191","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph pap",0,0,0.01,0,0
"192","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph div",0,0,0.01,0,0
"193","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph rus",0,0,0.01,0,0
"194","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph com",0,0,0.01,0,0
"195","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph maj",0,0,0.01,0,0
"196","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph bal",0,0,0.01,0,0
"197","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph rip",0,0,0.01,0,0
"198","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",20,NA,"Sph cf",0,0,0.01,0,0
"199","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph ang",8,0.32,8,8,8
"200","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph cap",2,0.08,2,2,2
"201","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph ten",14,0.56,14,14,14
"202","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph pap",1,0.04,1,1,1
"203","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph div",0,0,0.01,0,0
"204","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph rus",0,0,0.01,0,0
"205","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph com",0,0,0.01,0,0
"206","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph maj",0,0,0.01,0,0
"207","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph bal",0,0,0.01,0,0
"208","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph rip",0,0,0.01,0,0
"209","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",25,NA,"Sph cf",0,0,0.01,0,0
"210","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph ang",10,0.555555555555556,10,10,10
"211","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph cap",2,0.111111111111111,2,2,2
"212","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph ten",2,0.111111111111111,2,2,2
"213","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph pap",4,0.222222222222222,4,4,4
"214","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph div",0,0,0.01,0,0
"215","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph rus",0,0,0.01,0,0
"216","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph com",0,0,0.01,0,0
"217","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph maj",0,0,0.01,0,0
"218","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph bal",0,0,0.01,0,0
"219","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph rip",0,0,0.01,0,0
"220","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",18,NA,"Sph cf",0,0,0.01,0,0
"221","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph ang",8,0.727272727272727,8,8,8
"222","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph cap",0,0,0.01,0,0
"223","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph ten",4,0.363636363636364,4,4,4
"224","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph pap",0,0,0.01,0,0
"225","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph div",0,0,0.01,0,0
"226","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph rus",0,0,0.01,0,0
"227","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph com",0,0,0.01,0,0
"228","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph maj",0,0,0.01,0,0
"229","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph bal",0,0,0.01,0,0
"230","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph rip",0,0,0.01,0,0
"231","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",11,NA,"Sph cf",0,0,0.01,0,0
"232","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph ang",2,0.117647058823529,2,2,2
"233","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph cap",5,0.294117647058824,5,5,5
"234","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph ten",10,0.588235294117647,10,10,10
"235","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph pap",0,0,0.01,0,0
"236","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph div",0,0,0.01,0,0
"237","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph rus",0,0,0.01,0,0
"238","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph com",0,0,0.01,0,0
"239","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph maj",0,0,0.01,0,0
"240","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph bal",0,0,0.01,0,0
"241","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph rip",0,0,0.01,0,0
"242","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",17,NA,"Sph cf",0,0,0.01,0,0
